"rank";"lex";"num";"ipm"
"201";"понимать";"185057";"475.14900017860873"
"202";"письмо";"184954";"474.884539244851"
"203";"сегодня";"184715";"474.27088717525794"
"204";"книга";"184553";"473.85493891051283"
"205";"старый";"183007";"469.88545732226635"
"206";"общий";"182826";"469.42072500177954"
"207";"страна";"181965";"467.21003700211577"
"208";"второй";"180623";"463.76434211762233"
"209";"найти";"180326";"463.001770298923"
"210";"однако";"180242";"462.786093420907"
"211";"отношение";"179662";"461.2968959298443"
"212";"пока";"179628";"461.2095981458854"
"213";"больше";"178824";"459.1452623134468"
"214";"деньги";"178378";"458.0001207944572"
"215";"работать";"177153";"454.8548329900575"
"216";"понять";"176948";"454.3284787044233"
"217";"великий";"175288";"450.0662927817265"
"218";"именно";"174729";"448.63101451016774"
"219";"дорога";"172197";"442.1298971871147"
"220";"пора";"170574";"437.9627117940202"
"221";"увидеть";"170111";"436.7739213830512"
"222";"вместе";"169631";"435.54148208010275"
"223";"путь";"165073";"423.83844386585474"
"224";"твой";"164991";"423.627902151601"
"225";"оказаться";"164672";"422.8088435315165"
"226";"дверь";"164499";"422.3646518660789"
"227";"минута";"164466";"422.27992166400117"
"228";"жена";"164319";"421.9024871274732"
"229";"будто";"164244";"421.70991848638744"
"230";"утро";"163752";"420.4466682008653"
"231";"свет";"162121";"416.2589421527217"
"232";"имя";"162070";"416.12799547678344"
"233";"полный";"161438";"414.5052837279013"
"234";"война";"160942";"413.2317631148546"
"235";"история";"160811";"412.89540988842487"
"236";"комната";"159648";"409.90931216065604"
"237";"никогда";"158991";"408.2224108647453"
"238";"мать";"156589";"402.05507918624073"
"239";"правда";"156298";"401.3079128588282"
"240";"никакой";"155774";"399.9624999531095"
"241";"почему";"155617";"399.5593895977701"
"242";"наконец";"155215";"398.5272216815508"
"243";"маленький";"155118";"398.27816623907995"
"244";"главный";"155056";"398.11897616244914"
"245";"стол";"154716";"397.24599832286066"
"246";"высокий";"154329";"396.25234413485845"
"247";"пройти";"153313";"393.6436809436176"
"248";"читать";"153288";"393.57949139658905"
"249";"мало";"153242";"393.46138263005645"
"250";"белый";"152551";"391.6871835501869"
"251";"а.";"152301";"391.04528807990124"
"252";"сердце";"150957";"387.59445803164556"
"253";"принять";"150303";"385.9152594813783"
"254";"совершенно";"149000";"382.5697002902495"
"255";"вообще";"148495";"381.2730714402724"
"256";"сын";"148139";"380.35901229058567"
"257";"считать";"147049";"377.56034804014024"
"258";"бывать";"145431";"373.4060005564515"
"259";"написать";"144629";"371.3467998877751"
"260";"право";"144247";"370.3659836091786"
"261";"находиться";"143912";"369.50584367899586"
"262";"разный";"143525";"368.5121894909937"
"263";"нельзя";"143154";"367.55961661308976"
"264";"язык";"142382";"365.57744340084764"
"265";"являться";"142343";"365.4773077074831"
"266";"3";"142244";"365.22311710124995"
"267";"черный";"141339";"362.8994554988159"
"268";"тысяча";"141294";"362.7839143141645"
"269";"власть";"139367";"357.8361840292027"
"270";"кроме";"139334";"357.751453827125"
"271";"число";"139256";"357.55118244039585"
"272";"любовь";"138969";"356.81428644050794"
"273";"нужный";"138727";"356.1929316252714"
"274";"ходить";"138616";"355.90793003646456"
"275";"улица";"138428";"355.4252246428098"
"276";"ответить";"137205";"352.28507200217234"
"277";"князь";"136174";"349.6378950827143"
"278";"против";"136022";"349.24762263678065"
"279";"лежать";"135957";"349.08072981450636"
"280";"сразу";"135239";"347.23720602384594"
"281";"рубль";"133631";"343.10853435896865"
"282";"общество";"133249";"342.1277180803721"
"283";"смерть";"132930";"341.3086594602877"
"284";"особенно";"132739";"340.8182513209894"
"285";"начало";"132734";"340.80541341158374"
"286";"значить";"132490";"340.1789234325849"
"287";"скоро";"132376";"339.8862190981347"
"288";"просить";"132180";"339.3829730494307"
"289";"век";"131961";"338.82067261746045"
"290";"куда";"131663";"338.05553321687995"
"291";"нужно";"131292";"337.10296033897606"
"292";"про";"130403";"334.82038004664025"
"293";"снова";"130117";"334.08605162863347"
"294";"отвечать";"129963";"333.6906440189375"
"295";"решить";"129581";"332.70982774034104"
"296";"оставаться";"129010";"331.2437384862086"
"297";"ждать";"128020";"328.7018324238774"
"298";"система";"126943";"325.93654673788683"
"299";"около";"125996";"323.50504669644477"
"300";"положение";"125969";"323.43572198565397"
"301";"ко";"125943";"323.36896485674424"
"302";"уйти";"125202";"321.4663866828176"
"303";"брат";"124974";"320.88097801391706"
"304";"известный";"124746";"320.29556934501653"
"305";"целый";"124259";"319.0451569689001"
"306";"долго";"124109";"318.6600196867287"
"307";"настоящий";"124028";"318.4520455543561"
"308";"сколько";"123563";"317.25811997962484"
"309";"оба";"123315";"316.62135967310144"
"310";"в.";"122796";"315.28878467678845"
"311";"помнить";"122657";"314.9318907953096"
"312";"господин";"122057";"313.39134166662404"
"313";"месяц";"121894";"312.9728258199978"
"314";"живой";"121840";"312.83417639841605"
"315";"окно";"121773";"312.6621484123795"
"316";"среди";"121594";"312.20255125565495"
"317";"вести";"121551";"312.0921452347659"
"318";"форма";"120763";"310.06889071242546"
"319";"чувство";"120245";"308.7388832979936"
"320";"например";"119970";"308.0327982806794"
"321";"возможность";"119895";"307.84022963959364"
"322";"приехать";"119797";"307.58860661524176"
"323";"иной";"119661";"307.2394154794063"
"324";"узнать";"118868";"305.2033230476602"
"325";"советский";"118567";"304.4304809014363"
"326";"разговор";"117997";"302.966959229185"
"327";"называть";"117591";"301.9245209854411"
"328";"мера";"117292";"301.15681400297944"
"329";"подобный";"117277";"301.1183002747623"
"330";"чтоб";"116905";"300.1631598149773"
"331";"слышать";"116858";"300.04248346656357"
"332";"многий";"116366";"298.77923318104143"
"333";"иногда";"116302";"298.61490794064827"
"334";"продолжать";"115971";"297.76503833799006"
"335";"быстро";"115370";"296.22192162742334"
"336";"закон";"115221";"295.8393519271331"
"337";"церковь";"114943";"295.1255641641755"
"338";"труд";"114748";"294.6248856973526"
"339";"начинать";"114731";"294.58123680537324"
"340";"заметить";"114526";"294.054882519739"
"341";"играть";"114367";"293.64663700063727"
"342";"4";"114245";"293.3333920111379"
"343";"затем";"114242";"293.3256892654945"
"344";"красный";"114198";"293.21271566272424"
"345";"поэтому";"114091";"292.937984401442"
"346";"взгляд";"114007";"292.72230752342597"
"347";"чувствовать";"113882";"292.4013597882832"
"348";"часто";"113569";"291.59770665948554"
"349";"статья";"113511";"291.4487869103792"
"350";"машина";"113484";"291.37946219958843"
"351";"точно";"113413";"291.1971638860273"
"352";"прежде";"113404";"291.174055649097"
"353";"вернуться";"113032";"290.21891518931193"
"354";"товарищ";"113029";"290.2112124436685"
"355";"следовать";"112988";"290.1059415865417"
"356";"берег";"112190";"288.05701124538984"
"357";"военный";"112155";"287.96714587954983"
"358";"далеко";"111237";"285.610105712661"
"359";"хоть";"110867";"284.66010041663816"
"360";"собственный";"110212";"282.9783342844898"
"361";"вещь";"110048";"282.5572508559824"
"362";"ехать";"109979";"282.38008770618353"
"363";"действие";"109499";"281.14764840323505"
"364";"речь";"109147";"280.2438595810729"
"365";"посмотреть";"108798";"279.34777350455414"
"366";"стена";"108709";"279.11925871713237"
"367";"условие";"108560";"278.73668901684215"
"368";"внимание";"108547";"278.7033104523873"
"369";"прийтись";"108504";"278.59290443149814"
"370";"назад";"108380";"278.2745242782365"
"371";"школа";"108253";"277.94844137933137"
"372";"подумать";"108205";"277.8251974490365"
"373";"давно";"107605";"276.284648320351"
"374";"оставить";"107392";"275.7377533796676"
"375";"бояться";"107286";"275.46558970026643"
